TrueMean,Bias,Distance,Bias Strength,Hyperbole,Extermity Bias,Fair & Balanced,Belief Mean,Belief Var,Belief Mean Error,Belief Var Error,Belief Mean MSE,Belief Var MSE,,H X BS,E X BS,FaB X BS
-1,-1,0,0.1,1,0,0,-1.00,0.96,0.00,-0.04,0.00,0.00,,0,0.1,0
-1,-1,0,0.1,1,0,1,-0.33,1.06,0.67,0.06,0.44,0.00,,0,0.1,0
-1,-1,0,0.1,1,1,0,-1.64,0.83,-0.64,-0.17,0.41,0.03,,0,0.2,0
-1,-1,0,0.1,1,1,1,-0.21,1.60,0.79,0.60,0.62,0.36,,0,0.2,0
-1,-1,0,0.1,2,0,0,-1.92,3.26,-0.92,2.26,0.84,5.09,,0,0.1,0
-1,-1,0,0.1,2,0,1,-0.48,3.34,0.52,2.34,0.27,5.47,,0,0.1,0
-1,-1,0,0.1,2,1,0,-2.39,3.44,-1.39,2.44,1.93,5.95,,0,0.2,0
-1,-1,0,0.1,2,1,1,-0.48,3.82,0.52,2.82,0.27,7.96,,0,0.2,0
-1,-1,0,1,1,0,0,-0.98,0.60,0.02,-0.40,0.00,0.16,,0.9,1,0.9
-1,-1,0,1,1,0,1,-0.02,0.58,0.98,-0.42,0.95,0.18,,0.9,1,1.8
-1,-1,0,1,1,1,0,-1.63,0.44,-0.63,-0.56,0.40,0.32,,0.9,2,0.9
-1,-1,0,1,1,1,1,-1.60,0.49,-0.60,-0.51,0.36,0.26,,0.9,2,1.8
-1,-1,0,1,2,0,0,-1.23,0.80,-0.23,-0.20,0.06,0.04,,1.8,1,0.9
-1,-1,0,1,2,0,1,0.61,0.73,1.61,-0.27,2.58,0.07,,1.8,1,1.8
-1,-1,0,1,2,1,0,-2.63,0.74,-1.63,-0.26,2.65,0.07,,1.8,2,0.9
-1,-1,0,1,2,1,1,-2.56,0.73,-1.56,-0.27,2.43,0.08,,1.8,2,1.8
-1,0,-1,0.1,1,0,0,-1.00,0.96,0.00,-0.04,0.00,0.00,,0,0.1,0
-1,0,-1,0.1,1,0,1,-0.32,1.05,0.68,0.05,0.46,0.00,,0,0.1,0
-1,0,-1,0.1,1,1,0,-1.64,0.83,-0.64,-0.17,0.41,0.03,,0,0.2,0
-1,0,-1,0.1,1,1,1,-0.22,1.60,0.78,0.60,0.61,0.36,,0,0.2,0
-1,0,-1,0.1,2,0,0,-1.89,3.25,-0.89,2.25,0.78,5.06,,0,0.1,0
-1,0,-1,0.1,2,0,1,-0.47,3.35,0.53,2.35,0.28,5.53,,0,0.1,0
-1,0,-1,0.1,2,1,0,-2.47,3.41,-1.47,2.41,2.17,5.82,,0,0.2,0
-1,0,-1,0.1,2,1,1,-0.32,3.82,0.68,2.82,0.46,7.98,,0,0.2,0
-1,0,-1,1,1,0,0,-0.93,0.61,0.07,-0.39,0.00,0.16,,0.9,1,0.9
-1,0,-1,1,1,0,1,0.06,0.56,1.06,-0.44,1.13,0.19,,0.9,1,1.8
-1,0,-1,1,1,1,0,-1.65,0.44,-0.65,-0.56,0.42,0.31,,0.9,2,0.9
-1,0,-1,1,1,1,1,-1.59,0.49,-0.59,-0.51,0.34,0.26,,0.9,2,1.8
-1,0,-1,1,2,0,0,-0.32,0.79,0.68,-0.21,0.46,0.05,,1.8,1,0.9
-1,0,-1,1,2,0,1,0.65,0.72,1.65,-0.28,2.72,0.08,,1.8,1,1.8
-1,0,-1,1,2,1,0,-2.37,0.72,-1.37,-0.28,1.88,0.08,,1.8,2,0.9
-1,0,-1,1,2,1,1,1.98,0.63,2.98,-0.37,8.87,0.14,,1.8,2,1.8
-1,1,-2,0.1,1,0,0,-1.01,0.97,-0.01,-0.03,0.00,0.00,,0,0.1,0
-1,1,-2,0.1,1,0,1,-0.32,1.05,0.68,0.05,0.46,0.00,,0,0.1,0
-1,1,-2,0.1,1,1,0,-1.63,0.83,-0.63,-0.17,0.40,0.03,,0,0.2,0
-1,1,-2,0.1,1,1,1,-0.21,1.60,0.79,0.60,0.62,0.36,,0,0.2,0
-1,1,-2,0.1,2,0,0,-1.83,3.25,-0.83,2.25,0.69,5.05,,0,0.1,0
-1,1,-2,0.1,2,0,1,-0.49,3.35,0.51,2.35,0.26,5.51,,0,0.1,0
-1,1,-2,0.1,2,1,0,-2.47,3.42,-1.47,2.42,2.16,5.85,,0,0.2,0
-1,1,-2,0.1,2,1,1,-0.34,3.82,0.66,2.82,0.43,7.96,,0,0.2,0
-1,1,-2,1,1,0,0,-0.93,0.61,0.07,-0.39,0.00,0.16,,0.9,1,0.9
-1,1,-2,1,1,0,1,0.09,0.56,1.09,-0.44,1.18,0.20,,0.9,1,1.8
-1,1,-2,1,1,1,0,-1.61,0.44,-0.61,-0.56,0.38,0.31,,0.9,2,0.9
-1,1,-2,1,1,1,1,1.25,0.36,2.25,-0.64,5.07,0.42,,0.9,2,1.8
-1,1,-2,1,2,0,0,-0.32,0.79,0.68,-0.21,0.47,0.04,,1.8,1,0.9
-1,1,-2,1,2,0,1,0.81,0.72,1.81,-0.28,3.26,0.08,,1.8,1,1.8
-1,1,-2,1,2,1,0,2.13,0.66,3.13,-0.34,9.80,0.12,,1.8,2,0.9
-1,1,-2,1,2,1,1,2.09,0.64,3.09,-0.36,9.55,0.13,,1.8,2,1.8
0,-1,1,0.1,1,0,0,-0.01,0.97,-0.01,-0.03,0.00,0.00,,0,0.1,0
0,-1,1,0.1,1,0,1,0.01,0.96,0.01,-0.04,0.00,0.00,,0,0.1,0
0,-1,1,0.1,1,1,0,0.01,1.53,0.01,0.53,0.00,0.28,,0,0.2,0
0,-1,1,0.1,1,1,1,0.00,1.53,0.00,0.53,0.00,0.28,,0,0.2,0
0,-1,1,0.1,2,0,0,-0.03,3.31,-0.03,2.31,0.00,5.33,,0,0.1,0
0,-1,1,0.1,2,0,1,0.01,3.30,0.01,2.30,0.00,5.29,,0,0.1,0
0,-1,1,0.1,2,1,0,0.00,3.74,0.00,2.74,0.00,7.53,,0,0.2,0
0,-1,1,0.1,2,1,1,-0.01,3.76,-0.01,2.76,0.00,7.62,,0,0.2,0
0,-1,1,1,1,0,0,-0.01,0.60,-0.01,-0.40,0.00,0.16,,0.9,1,0.9
0,-1,1,1,1,0,1,-0.07,0.60,-0.07,-0.40,0.00,0.16,,0.9,1,1.8
0,-1,1,1,1,1,0,-1.38,0.42,-1.38,-0.58,1.89,0.34,,0.9,2,0.9
0,-1,1,1,1,1,1,-1.36,0.42,-1.36,-0.58,1.86,0.34,,0.9,2,1.8
0,-1,1,1,2,0,0,-1.26,0.81,-1.26,-0.19,1.59,0.04,,1.8,1,0.9
0,-1,1,1,2,0,1,-0.07,0.79,-0.07,-0.21,0.01,0.05,,1.8,1,1.8
0,-1,1,1,2,1,0,-2.37,0.70,-2.37,-0.30,5.63,0.09,,1.8,2,0.9
0,-1,1,1,2,1,1,-2.21,0.68,-2.21,-0.32,4.88,0.10,,1.8,2,1.8
