"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-0.882,0.867,0.118,-0.133,0.014,0.018
-1,-1,0.1,1,0,1,-0.262,1.059,0.738,0.059,0.545,0.004
-1,-1,0.1,1,1,0,-1.587,0.63,-0.587,-0.37,0.344,0.137
-1,-1,0.1,1,1,1,-0.401,1.48,0.599,0.48,0.359,0.23
-1,-1,0.1,2,0,0,-2.246,1.896,-1.246,0.896,1.551,0.803
-1,-1,0.1,2,0,1,-0.637,2.007,0.363,1.007,0.132,1.015
-1,-1,0.1,2,1,0,-2.289,1.496,-1.289,0.496,1.661,0.246
-1,-1,0.1,2,1,1,-0.631,2.554,0.369,1.554,0.136,2.415
-1,-1,1,1,0,0,-0.872,0.493,0.128,-0.507,0.016,0.257
-1,-1,1,1,0,1,0.084,0.577,1.084,-0.423,1.174,0.179
-1,-1,1,1,1,0,-1.598,0.411,-0.598,-0.589,0.357,0.347
-1,-1,1,1,1,1,-1.643,0.406,-0.643,-0.594,0.413,0.353
-1,-1,1,2,0,0,-1.435,0.671,-0.435,-0.329,0.189,0.109
-1,-1,1,2,0,1,0.376,0.669,1.376,-0.331,1.892,0.109
-1,-1,1,2,1,0,-2.194,0.595,-1.194,-0.405,1.426,0.164
-1,-1,1,2,1,1,-2.404,0.819,-1.404,-0.181,1.97,0.033
-1,0,0.1,1,0,0,-0.988,0.932,0.012,-0.068,0,0.005
-1,0,0.1,1,0,1,-0.479,1.174,0.521,0.174,0.271,0.03
-1,0,0.1,1,1,0,-1.625,0.792,-0.625,-0.208,0.39,0.043
-1,0,0.1,1,1,1,0.072,1.391,1.072,0.391,1.149,0.153
-1,0,0.1,2,0,0,-1.876,2.013,-0.876,1.013,0.768,1.025
-1,0,0.1,2,0,1,-0.743,2,0.257,1,0.066,0.999
-1,0,0.1,2,1,0,-2.446,1.587,-1.446,0.587,2.09,0.344
-1,0,0.1,2,1,1,-1.499,2.564,-0.499,1.564,0.249,2.447
-1,0,1,1,0,0,-0.889,0.432,0.111,-0.568,0.012,0.323
-1,0,1,1,0,1,0.05,0.487,1.05,-0.513,1.104,0.263
-1,0,1,1,1,0,-1.538,0.589,-0.538,-0.411,0.289,0.169
-1,0,1,1,1,1,-1.514,0.46,-0.514,-0.54,0.264,0.291
-1,0,1,2,0,0,-1.422,0.569,-0.422,-0.431,0.178,0.186
-1,0,1,2,0,1,0.379,0.584,1.379,-0.416,1.903,0.173
