"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0,1,0,0,-1,1.043,0,0.043,0,0.002
-1,-1,0,1,0,1,-0.325,1.082,0.675,0.082,0.455,0.007
-1,-1,0,1,0.2,0,-1.054,1,-0.054,0,0.003,0
-1,-1,0,1,0.2,1,-0.462,1.221,0.538,0.221,0.29,0.049
-1,-1,0,1,0.4,0,-1.192,1.018,-0.192,0.018,0.037,0
-1,-1,0,1,0.4,1,-0.342,1.255,0.658,0.255,0.433,0.065
-1,-1,0,1,0.6,0,-1.36,0.99,-0.36,-0.01,0.129,0
-1,-1,0,1,0.6,1,-0.317,1.396,0.683,0.396,0.466,0.157
-1,-1,0,1,0.8,0,-1.465,0.965,-0.465,-0.035,0.216,0.001
-1,-1,0,1,0.8,1,-0.193,1.518,0.807,0.518,0.651,0.268
-1,-1,0,1,1,0,-1.614,0.913,-0.614,-0.087,0.378,0.008
-1,-1,0,1,1,1,-0.178,1.639,0.822,0.639,0.676,0.408
-1,-1,0,1.2,0,0,-1.151,1.468,-0.151,0.468,0.023,0.219
-1,-1,0,1.2,0,1,-0.42,1.527,0.58,0.527,0.337,0.277
-1,-1,0,1.2,0.2,0,-1.286,1.439,-0.286,0.439,0.082,0.193
-1,-1,0,1.2,0.2,1,-0.493,1.601,0.507,0.601,0.257,0.361
-1,-1,0,1.2,0.4,0,-1.415,1.518,-0.415,0.518,0.172,0.268
-1,-1,0,1.2,0.4,1,-0.4,1.73,0.6,0.73,0.36,0.533
-1,-1,0,1.2,0.6,0,-1.54,1.486,-0.54,0.486,0.291,0.237
-1,-1,0,1.2,0.6,1,-0.374,1.837,0.626,0.837,0.392,0.7
-1,-1,0,1.2,0.8,0,-1.667,1.539,-0.667,0.539,0.445,0.29
-1,-1,0,1.2,0.8,1,-0.451,1.963,0.549,0.963,0.302,0.928
-1,-1,0,1.2,1,0,-1.774,1.444,-0.774,0.444,0.6,0.197
-1,-1,0,1.2,1,1,-0.255,2.059,0.745,1.059,0.555,1.122
-1,-1,0,1.4,0,0,-1.379,1.979,-0.379,0.979,0.144,0.958
-1,-1,0,1.4,0,1,-0.513,2.16,0.487,1.16,0.237,1.346
-1,-1,0,1.4,0.2,0,-1.413,2.007,-0.413,1.007,0.17,1.014
-1,-1,0,1.4,0.2,1,-0.533,2.089,0.467,1.089,0.218,1.187
-1,-1,0,1.4,0.4,0,-1.721,1.98,-0.721,0.98,0.52,0.961
-1,-1,0,1.4,0.4,1,-0.579,2.282,0.421,1.282,0.178,1.642
-1,-1,0,1.4,0.6,0,-1.835,2.004,-0.835,1.004,0.698,1.008
-1,-1,0,1.4,0.6,1,-0.397,2.354,0.603,1.354,0.364,1.833
-1,-1,0,1.4,0.8,0,-1.862,2.106,-0.862,1.106,0.742,1.223
-1,-1,0,1.4,0.8,1,-0.375,2.51,0.625,1.51,0.39,2.279
-1,-1,0,1.4,1,0,-2.008,2,-1.008,1,1.017,1
-1,-1,0,1.4,1,1,-0.32,2.544,0.68,1.544,0.462,2.383
-1,-1,0,1.6,0,0,-1.574,2.494,-0.574,1.494,0.33,2.233
-1,-1,0,1.6,0,1,-0.507,2.641,0.493,1.641,0.243,2.692
-1,-1,0,1.6,0.2,0,-1.564,2.601,-0.564,1.601,0.318,2.564
-1,-1,0,1.6,0.2,1,-0.589,2.772,0.411,1.772,0.169,3.138
-1,-1,0,1.6,0.4,0,-1.816,2.692,-0.816,1.692,0.666,2.864
-1,-1,0,1.6,0.4,1,-0.554,2.833,0.446,1.833,0.199,3.361
-1,-1,0,1.6,0.6,0,-1.811,2.803,-0.811,1.803,0.658,3.251
-1,-1,0,1.6,0.6,1,-0.628,2.941,0.372,1.941,0.139,3.766
-1,-1,0,1.6,0.8,0,-2.081,2.791,-1.081,1.791,1.168,3.207
-1,-1,0,1.6,0.8,1,-0.626,3.093,0.374,2.093,0.14,4.382
-1,-1,0,1.6,1,0,-2.053,2.649,-1.053,1.649,1.108,2.721
-1,-1,0,1.6,1,1,-0.596,3.09,0.404,2.09,0.163,4.369
-1,-1,0,1.8,0,0,-1.832,3.295,-0.832,2.295,0.692,5.265
-1,-1,0,1.8,0,1,-0.568,3.272,0.432,2.272,0.186,5.161
-1,-1,0,1.8,0.2,0,-1.895,3.294,-0.895,2.294,0.801,5.264
-1,-1,0,1.8,0.2,1,-0.7,3.334,0.3,2.334,0.09,5.447
-1,-1,0,1.8,0.4,0,-2.069,3.169,-1.069,2.169,1.144,4.705
-1,-1,0,1.8,0.4,1,-0.489,3.482,0.511,2.482,0.261,6.161
-1,-1,0,1.8,0.6,0,-1.879,3.243,-0.879,2.243,0.772,5.032
-1,-1,0,1.8,0.6,1,-0.696,3.557,0.304,2.557,0.092,6.538
-1,-1,0,1.8,0.8,0,-1.999,3.411,-0.999,2.411,0.998,5.811
-1,-1,0,1.8,0.8,1,-0.498,3.599,0.502,2.599,0.252,6.755
-1,-1,0,1.8,1,0,-2.176,3.349,-1.176,2.349,1.383,5.518
-1,-1,0,1.8,1,1,-0.561,3.678,0.439,2.678,0.193,7.174
-1,-1,0,2,0,0,-1.551,3.828,-0.551,2.828,0.304,8
-1,-1,0,2,0,1,-0.54,3.938,0.46,2.938,0.212,8.629
-1,-1,0,2,0.2,0,-2.08,3.818,-1.08,2.818,1.166,7.942
-1,-1,0,2,0.2,1,-0.679,4.031,0.321,3.031,0.103,9.19
-1,-1,0,2,0.4,0,-1.784,3.913,-0.784,2.913,0.614,8.488
-1,-1,0,2,0.4,1,-0.691,4.037,0.309,3.037,0.095,9.221
-1,-1,0,2,0.6,0,-2.185,3.848,-1.185,2.848,1.405,8.109
-1,-1,0,2,0.6,1,-0.581,4.081,0.419,3.081,0.176,9.492
-1,-1,0,2,0.8,0,-2.219,3.908,-1.219,2.908,1.486,8.458
-1,-1,0,2,0.8,1,-0.781,4.149,0.219,3.149,0.048,9.914
-1,-1,0,2,1,0,-2.255,3.923,-1.255,2.923,1.576,8.547
-1,-1,0,2,1,1,-0.716,4.189,0.284,3.189,0.08,10.167
-1,-1,0.4,1,0,0,-0.918,0.83,0.082,-0.17,0.007,0.029
-1,-1,0.4,1,0,1,-0.311,0.941,0.689,-0.059,0.474,0.004
-1,-1,0.4,1,0.2,0,-1.128,0.836,-0.128,-0.164,0.017,0.027
-1,-1,0.4,1,0.2,1,-0.255,1.025,0.745,0.025,0.556,0.001
-1,-1,0.4,1,0.4,0,-1.308,0.789,-0.308,-0.211,0.095,0.045
-1,-1,0.4,1,0.4,1,-0.374,1.144,0.626,0.144,0.392,0.021
-1,-1,0.4,1,0.6,0,-1.378,0.774,-0.378,-0.226,0.143,0.051
-1,-1,0.4,1,0.6,1,-0.078,1.237,0.922,0.237,0.85,0.056
-1,-1,0.4,1,0.8,0,-1.614,0.681,-0.614,-0.319,0.376,0.102
-1,-1,0.4,1,0.8,1,-0.107,1.377,0.893,0.377,0.798,0.142
-1,-1,0.4,1,1,0,-1.684,0.581,-0.684,-0.419,0.468,0.176
-1,-1,0.4,1,1,1,-0.574,1.488,0.426,0.488,0.182,0.238
-1,-1,0.4,1.2,0,0,-1.201,1.122,-0.201,0.122,0.04,0.015
-1,-1,0.4,1.2,0,1,-0.348,1.161,0.652,0.161,0.426,0.026
-1,-1,0.4,1.2,0.2,0,-1.394,1.047,-0.394,0.047,0.155,0.002
-1,-1,0.4,1.2,0.2,1,-0.393,1.293,0.607,0.293,0.368,0.086
-1,-1,0.4,1.2,0.4,0,-1.588,1.046,-0.588,0.046,0.345,0.002
-1,-1,0.4,1.2,0.4,1,-0.656,1.387,0.344,0.387,0.119,0.15
-1,-1,0.4,1.2,0.6,0,-1.639,1.033,-0.639,0.033,0.409,0.001
-1,-1,0.4,1.2,0.6,1,-0.736,1.562,0.264,0.562,0.07,0.316
-1,-1,0.4,1.2,0.8,0,-1.832,0.942,-0.832,-0.058,0.693,0.003
-1,-1,0.4,1.2,0.8,1,0.186,1.543,1.186,0.543,1.407,0.294
-1,-1,0.4,1.2,1,0,-2.034,0.913,-1.034,-0.087,1.069,0.008
-1,-1,0.4,1.2,1,1,0.571,1.564,1.571,0.564,2.467,0.318
-1,-1,0.4,1.4,0,0,-1.475,1.352,-0.475,0.352,0.225,0.124
-1,-1,0.4,1.4,0,1,-0.164,1.384,0.836,0.384,0.699,0.147
-1,-1,0.4,1.4,0.2,0,-1.57,1.301,-0.57,0.301,0.325,0.091
-1,-1,0.4,1.4,0.2,1,-0.166,1.483,0.834,0.483,0.695,0.233
-1,-1,0.4,1.4,0.4,0,-1.953,1.316,-0.953,0.316,0.908,0.1
-1,-1,0.4,1.4,0.4,1,-0.895,1.676,0.105,0.676,0.011,0.457
-1,-1,0.4,1.4,0.6,0,-2.09,1.271,-1.09,0.271,1.187,0.073
-1,-1,0.4,1.4,0.6,1,0.257,1.602,1.257,0.602,1.579,0.362
-1,-1,0.4,1.4,0.8,0,-2.097,1.16,-1.097,0.16,1.203,0.026
-1,-1,0.4,1.4,0.8,1,0.503,1.686,1.503,0.686,2.26,0.471
-1,-1,0.4,1.4,1,0,-2.256,1.156,-1.256,0.156,1.579,0.024
-1,-1,0.4,1.4,1,1,0.82,1.589,1.82,0.589,3.313,0.347
-1,-1,0.4,1.6,0,0,-2.086,1.541,-1.086,0.541,1.18,0.292
-1,-1,0.4,1.6,0,1,-0.454,1.644,0.546,0.644,0.298,0.415
-1,-1,0.4,1.6,0.2,0,-1.55,1.574,-0.55,0.574,0.303,0.329
-1,-1,0.4,1.6,0.2,1,-0.834,1.728,0.166,0.728,0.028,0.53
-1,-1,0.4,1.6,0.4,0,-2.082,1.482,-1.082,0.482,1.17,0.232
-1,-1,0.4,1.6,0.4,1,-0.272,1.716,0.728,0.716,0.53,0.513
-1,-1,0.4,1.6,0.6,0,-2.342,1.392,-1.342,0.392,1.802,0.154
-1,-1,0.4,1.6,0.6,1,0.723,1.674,1.723,0.674,2.968,0.455
-1,-1,0.4,1.6,0.8,0,-2.473,1.361,-1.473,0.361,2.171,0.131
