"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0,1,0,0,-1.005,0.994,-0.005,-0.006,0,0
-1,-1,0,1,0,1,-0.349,1.121,0.651,0.121,0.423,0.015
-1,-1,0,1,0.2,0,-1.086,0.978,-0.086,-0.022,0.007,0.001
-1,-1,0,1,0.2,1,-0.377,1.178,0.623,0.178,0.388,0.032
-1,-1,0,1,0.4,0,-1.216,1.001,-0.216,0.001,0.047,0
-1,-1,0,1,0.4,1,-0.343,1.244,0.657,0.244,0.432,0.06
-1,-1,0,1,0.6,0,-1.354,0.935,-0.354,-0.065,0.125,0.004
-1,-1,0,1,0.6,1,-0.253,1.365,0.747,0.365,0.558,0.133
-1,-1,0,1,0.8,0,-1.511,0.896,-0.511,-0.104,0.261,0.011
-1,-1,0,1,0.8,1,-0.264,1.5,0.736,0.5,0.541,0.25
-1,-1,0,1,1,0,-1.612,0.92,-0.612,-0.08,0.374,0.006
-1,-1,0,1,1,1,-0.232,1.619,0.768,0.619,0.59,0.383
-1,-1,0,1.2,0,0,-1.154,1.506,-0.154,0.506,0.024,0.256
-1,-1,0,1.2,0,1,-0.47,1.54,0.53,0.54,0.281,0.292
-1,-1,0,1.2,0.2,0,-1.32,1.48,-0.32,0.48,0.102,0.23
-1,-1,0,1.2,0.2,1,-0.439,1.628,0.561,0.628,0.315,0.395
-1,-1,0,1.2,0.4,0,-1.404,1.497,-0.404,0.497,0.163,0.247
-1,-1,0,1.2,0.4,1,-0.345,1.739,0.655,0.739,0.429,0.546
-1,-1,0,1.2,0.6,0,-1.583,1.53,-0.583,0.53,0.34,0.281
-1,-1,0,1.2,0.6,1,-0.448,1.834,0.552,0.834,0.305,0.696
-1,-1,0,1.2,0.8,0,-1.654,1.544,-0.654,0.544,0.427,0.296
-1,-1,0,1.2,0.8,1,-0.428,1.933,0.572,0.933,0.327,0.87
-1,-1,0,1.2,1,0,-1.821,1.498,-0.821,0.498,0.674,0.248
-1,-1,0,1.2,1,1,-0.263,2.04,0.737,1.04,0.543,1.081
-1,-1,0,1.4,0,0,-1.476,1.951,-0.476,0.951,0.226,0.905
-1,-1,0,1.4,0,1,-0.532,2.136,0.468,1.136,0.219,1.29
-1,-1,0,1.4,0.2,0,-1.547,1.989,-0.547,0.989,0.299,0.978
-1,-1,0,1.4,0.2,1,-0.5,2.151,0.5,1.151,0.25,1.325
-1,-1,0,1.4,0.4,0,-1.58,2.006,-0.58,1.006,0.337,1.012
-1,-1,0,1.4,0.4,1,-0.421,2.265,0.579,1.265,0.335,1.601
-1,-1,0,1.4,0.6,0,-1.673,2.023,-0.673,1.023,0.452,1.046
-1,-1,0,1.4,0.6,1,-0.366,2.315,0.634,1.315,0.402,1.73
-1,-1,0,1.4,0.8,0,-1.786,2.096,-0.786,1.096,0.618,1.2
-1,-1,0,1.4,0.8,1,-0.599,2.374,0.401,1.374,0.16,1.887
-1,-1,0,1.4,1,0,-1.923,2.101,-0.923,1.101,0.852,1.213
-1,-1,0,1.4,1,1,-0.322,2.544,0.678,1.544,0.46,2.385
-1,-1,0,1.6,0,0,-1.637,2.567,-0.637,1.567,0.406,2.457
-1,-1,0,1.6,0,1,-0.791,2.555,0.209,1.555,0.044,2.417
-1,-1,0,1.6,0.2,0,-1.721,2.534,-0.721,1.534,0.52,2.352
-1,-1,0,1.6,0.2,1,-0.463,2.692,0.537,1.692,0.288,2.863
-1,-1,0,1.6,0.4,0,-1.863,2.632,-0.863,1.632,0.744,2.663
-1,-1,0,1.6,0.4,1,-0.49,2.744,0.51,1.744,0.26,3.041
-1,-1,0,1.6,0.6,0,-1.87,2.679,-0.87,1.679,0.756,2.818
-1,-1,0,1.6,0.6,1,-0.828,2.98,0.172,1.98,0.029,3.922
-1,-1,0,1.6,0.8,0,-1.992,2.702,-0.992,1.702,0.984,2.897
-1,-1,0,1.6,0.8,1,-0.51,2.994,0.49,1.994,0.24,3.977
-1,-1,0,1.6,1,0,-2.151,2.713,-1.151,1.713,1.325,2.933
-1,-1,0,1.6,1,1,-0.452,3.141,0.548,2.141,0.3,4.586
-1,-1,0,1.8,0,0,-1.788,3.151,-0.788,2.151,0.621,4.626
-1,-1,0,1.8,0,1,-0.593,3.299,0.407,2.299,0.166,5.287
-1,-1,0,1.8,0.2,0,-1.842,3.22,-0.842,2.22,0.709,4.927
-1,-1,0,1.8,0.2,1,-0.756,3.319,0.244,2.319,0.06,5.38
-1,-1,0,1.8,0.4,0,-1.743,3.269,-0.743,2.269,0.552,5.147
-1,-1,0,1.8,0.4,1,-0.712,3.524,0.288,2.524,0.083,6.372
-1,-1,0,1.8,0.6,0,-2.191,3.307,-1.191,2.307,1.419,5.324
-1,-1,0,1.8,0.6,1,-0.513,3.538,0.487,2.538,0.237,6.439
-1,-1,0,1.8,0.8,0,-2.116,3.392,-1.116,2.392,1.245,5.724
-1,-1,0,1.8,0.8,1,-0.653,3.654,0.347,2.654,0.12,7.042
-1,-1,0,1.8,1,0,-2.153,3.368,-1.153,2.368,1.33,5.606
-1,-1,0,1.8,1,1,-0.62,3.723,0.38,2.723,0.145,7.414
-1,-1,0,2,0,0,-1.7,3.835,-0.7,2.835,0.49,8.039
-1,-1,0,2,0,1,-0.485,3.888,0.515,2.888,0.265,8.342
-1,-1,0,2,0.2,0,-2.03,3.696,-1.03,2.696,1.062,7.269
-1,-1,0,2,0.2,1,-0.635,3.984,0.365,2.984,0.133,8.904
-1,-1,0,2,0.4,0,-1.872,3.797,-0.872,2.797,0.76,7.825
-1,-1,0,2,0.4,1,-0.578,3.997,0.422,2.997,0.178,8.985
-1,-1,0,2,0.6,0,-2.13,3.922,-1.13,2.922,1.276,8.539
-1,-1,0,2,0.6,1,-0.624,4.096,0.376,3.096,0.141,9.587
-1,-1,0,2,0.8,0,-2.261,3.875,-1.261,2.875,1.59,8.265
-1,-1,0,2,0.8,1,-0.439,4.21,0.561,3.21,0.315,10.305
-1,-1,0,2,1,0,-2.219,4.015,-1.219,3.015,1.485,9.088
-1,-1,0,2,1,1,-0.725,4.335,0.275,3.335,0.076,11.125
-1,-1,0.4,1,0,0,-0.968,0.873,0.032,-0.127,0.001,0.016
-1,-1,0.4,1,0,1,-0.351,0.941,0.649,-0.059,0.421,0.003
-1,-1,0.4,1,0.2,0,-1.141,0.8,-0.141,-0.2,0.02,0.04
-1,-1,0.4,1,0.2,1,-0.333,1.026,0.667,0.026,0.445,0.001
-1,-1,0.4,1,0.4,0,-1.306,0.81,-0.306,-0.19,0.094,0.036
-1,-1,0.4,1,0.4,1,-0.28,1.145,0.72,0.145,0.519,0.021
-1,-1,0.4,1,0.6,0,-1.463,0.753,-0.463,-0.247,0.214,0.061
-1,-1,0.4,1,0.6,1,-0.135,1.237,0.865,0.237,0.749,0.056
-1,-1,0.4,1,0.8,0,-1.531,0.692,-0.531,-0.308,0.282,0.095
-1,-1,0.4,1,0.8,1,-0.279,1.389,0.721,0.389,0.52,0.151
-1,-1,0.4,1,1,0,-1.667,0.645,-0.667,-0.355,0.445,0.126
-1,-1,0.4,1,1,1,-0.048,1.482,0.952,0.482,0.906,0.232
-1,-1,0.4,1.2,0,0,-1.245,1.088,-0.245,0.088,0.06,0.008
-1,-1,0.4,1.2,0,1,-0.212,1.16,0.788,0.16,0.62,0.026
-1,-1,0.4,1.2,0.2,0,-1.502,1.04,-0.502,0.04,0.252,0.002
-1,-1,0.4,1.2,0.2,1,0.033,1.147,1.033,0.147,1.066,0.022
-1,-1,0.4,1.2,0.4,0,-1.48,1.049,-0.48,0.049,0.231,0.002
-1,-1,0.4,1.2,0.4,1,-0.22,1.354,0.78,0.354,0.608,0.125
-1,-1,0.4,1.2,0.6,0,-1.589,1.02,-0.589,0.02,0.347,0
-1,-1,0.4,1.2,0.6,1,0.366,1.353,1.366,0.353,1.867,0.125
-1,-1,0.4,1.2,0.8,0,-1.913,0.969,-0.913,-0.031,0.833,0.001
-1,-1,0.4,1.2,0.8,1,-0.448,1.649,0.552,0.649,0.304,0.421
-1,-1,0.4,1.2,1,0,-1.961,0.901,-0.961,-0.099,0.923,0.01
-1,-1,0.4,1.2,1,1,-0.841,1.716,0.159,0.716,0.025,0.513
-1,-1,0.4,1.4,0,0,-1.588,1.351,-0.588,0.351,0.346,0.123
-1,-1,0.4,1.4,0,1,-0.068,1.309,0.932,0.309,0.869,0.095
-1,-1,0.4,1.4,0.2,0,-1.679,1.286,-0.679,0.286,0.461,0.082
-1,-1,0.4,1.4,0.2,1,-0.07,1.46,0.93,0.46,0.866,0.212
-1,-1,0.4,1.4,0.4,0,-1.617,1.386,-0.617,0.386,0.38,0.149
-1,-1,0.4,1.4,0.4,1,-0.707,1.608,0.293,0.608,0.086,0.37
-1,-1,0.4,1.4,0.6,0,-1.84,1.264,-0.84,0.264,0.705,0.07
-1,-1,0.4,1.4,0.6,1,0.612,1.529,1.612,0.529,2.599,0.28
-1,-1,0.4,1.4,0.8,0,-2.135,1.256,-1.135,0.256,1.288,0.066
-1,-1,0.4,1.4,0.8,1,0.033,1.798,1.033,0.798,1.067,0.637
-1,-1,0.4,1.4,1,0,-2.222,1.199,-1.222,0.199,1.494,0.04
-1,-1,0.4,1.4,1,1,-1.821,1.702,-0.821,0.702,0.674,0.493
-1,-1,0.4,1.6,0,0,-1.14,1.545,-0.14,0.545,0.02,0.298
-1,-1,0.4,1.6,0,1,-0.294,1.562,0.706,0.562,0.499,0.316
-1,-1,0.4,1.6,0.2,0,-2.053,1.499,-1.053,0.499,1.108,0.249
-1,-1,0.4,1.6,0.2,1,-0.029,1.7,0.971,0.7,0.942,0.491
-1,-1,0.4,1.6,0.4,0,-1.297,1.566,-0.297,0.566,0.088,0.32
-1,-1,0.4,1.6,0.4,1,-0.689,1.825,0.311,0.825,0.097,0.68
-1,-1,0.4,1.6,0.6,0,-1.847,1.54,-0.847,0.54,0.717,0.291
-1,-1,0.4,1.6,0.6,1,-0.372,1.87,0.628,0.87,0.395,0.756
-1,-1,0.4,1.6,0.8,0,-2.234,1.459,-1.234,0.459,1.522,0.21
-1,-1,0.4,1.6,0.8,1,0.701,1.751,1.701,0.751,2.893,0.565
-1,-1,0.4,1.6,1,0,-2.541,1.367,-1.541,0.367,2.374,0.135
-1,-1,0.4,1.6,1,1,0.016,2.017,1.016,1.017,1.033,1.035
-1,-1,0.4,1.8,0,0,-1.553,1.673,-0.553,0.673,0.306,0.452
-1,-1,0.4,1.8,0,1,0.278,1.493,1.278,0.493,1.634,0.243
-1,-1,0.4,1.8,0.2,0,-1.338,1.723,-0.338,0.723,0.114,0.523
-1,-1,0.4,1.8,0.2,1,0.732,1.595,1.732,0.595,3.002,0.354
-1,-1,0.4,1.8,0.4,0,-1.951,1.669,-0.951,0.669,0.904,0.448
-1,-1,0.4,1.8,0.4,1,0.321,1.846,1.321,0.846,1.744,0.716
-1,-1,0.4,1.8,0.6,0,-2.516,1.69,-1.516,0.69,2.3,0.476
-1,-1,0.4,1.8,0.6,1,-1.092,2.024,-0.092,1.024,0.009,1.048
-1,-1,0.4,1.8,0.8,0,-2.807,1.509,-1.807,0.509,3.266,0.259
-1,-1,0.4,1.8,0.8,1,-0.561,2.162,0.439,1.162,0.193,1.35
-1,-1,0.4,1.8,1,0,-2.521,1.479,-1.521,0.479,2.314,0.229
-1,-1,0.4,1.8,1,1,-3.023,1.738,-2.023,0.738,4.094,0.545
-1,-1,0.4,2,0,0,-1.39,1.854,-0.39,0.854,0.152,0.729
-1,-1,0.4,2,0,1,-0.772,1.917,0.228,0.917,0.052,0.841
-1,-1,0.4,2,0.2,0,-2.531,1.767,-1.531,0.767,2.343,0.589
-1,-1,0.4,2,0.2,1,-2.378,2.023,-1.378,1.023,1.898,1.046
-1,-1,0.4,2,0.4,0,-3.025,1.667,-2.025,0.667,4.102,0.445
-1,-1,0.4,2,0.4,1,-1.654,1.963,-0.654,0.963,0.428,0.927
-1,-1,0.4,2,0.6,0,-1.963,1.754,-0.963,0.754,0.927,0.568
-1,-1,0.4,2,0.6,1,0.879,1.822,1.879,0.822,3.531,0.675
-1,-1,0.4,2,0.8,0,-3.681,1.671,-2.681,0.671,7.187,0.45
-1,-1,0.4,2,0.8,1,-1.457,2.124,-0.457,1.124,0.209,1.263
-1,-1,0.4,2,1,0,-3.175,1.558,-2.175,0.558,4.732,0.311
-1,-1,0.4,2,1,1,-2.265,2.021,-1.265,1.021,1.599,1.042
-1,-1,0.8,1,0,0,-1.049,0.673,-0.049,-0.327,0.002,0.107
-1,-1,0.8,1,0,1,-0.206,0.716,0.794,-0.284,0.63,0.081
-1,-1,0.8,1,0.2,0,-1.132,0.626,-0.132,-0.374,0.017,0.14
-1,-1,0.8,1,0.2,1,0.053,0.779,1.053,-0.221,1.109,0.049
-1,-1,0.8,1,0.4,0,-1.199,0.604,-0.199,-0.396,0.039,0.157
-1,-1,0.8,1,0.4,1,-0.975,0.908,0.025,-0.092,0.001,0.008
-1,-1,0.8,1,0.6,0,-1.396,0.56,-0.396,-0.44,0.157,0.193
-1,-1,0.8,1,0.6,1,-1.159,0.884,-0.159,-0.116,0.025,0.014
-1,-1,0.8,1,0.8,0,-1.55,0.522,-0.55,-0.478,0.303,0.229
-1,-1,0.8,1,0.8,1,0.28,1.025,1.28,0.025,1.638,0.001
-1,-1,0.8,1,1,0,-1.667,0.494,-0.667,-0.506,0.445,0.256
-1,-1,0.8,1,1,1,-1.555,0.662,-0.555,-0.338,0.308,0.115
-1,-1,0.8,1.2,0,0,-1.191,0.804,-0.191,-0.196,0.036,0.038
-1,-1,0.8,1.2,0,1,-0.172,0.792,0.828,-0.208,0.686,0.043
-1,-1,0.8,1.2,0.2,0,-1.113,0.773,-0.113,-0.227,0.013,0.051
-1,-1,0.8,1.2,0.2,1,-0.137,0.886,0.863,-0.114,0.744,0.013
-1,-1,0.8,1.2,0.4,0,-1.484,0.739,-0.484,-0.261,0.234,0.068
-1,-1,0.8,1.2,0.4,1,-0.161,1.038,0.839,0.038,0.704,0.001
-1,-1,0.8,1.2,0.6,0,-1.618,0.65,-0.618,-0.35,0.382,0.123
-1,-1,0.8,1.2,0.6,1,-1.59,0.837,-0.59,-0.163,0.348,0.027
-1,-1,0.8,1.2,0.8,0,-1.823,0.638,-0.823,-0.362,0.677,0.131
-1,-1,0.8,1.2,0.8,1,1.012,0.68,2.012,-0.32,4.05,0.102
-1,-1,0.8,1.2,1,0,-1.853,0.625,-0.853,-0.375,0.727,0.141
-1,-1,0.8,1.2,1,1,-2.002,0.745,-1.002,-0.255,1.004,0.065
-1,-1,0.8,1.4,0,0,-1.35,0.86,-0.35,-0.14,0.122,0.02
-1,-1,0.8,1.4,0,1,-0.846,0.999,0.154,-0.001,0.024,0
-1,-1,0.8,1.4,0.2,0,-0.791,0.922,0.209,-0.078,0.044,0.006
-1,-1,0.8,1.4,0.2,1,-1.02,1.069,-0.02,0.069,0,0.005
-1,-1,0.8,1.4,0.4,0,-1.682,0.817,-0.682,-0.183,0.465,0.033
-1,-1,0.8,1.4,0.4,1,-0.935,1.097,0.065,0.097,0.004,0.009
-1,-1,0.8,1.4,0.6,0,-1.868,0.737,-0.868,-0.263,0.753,0.069
-1,-1,0.8,1.4,0.6,1,-1.523,0.918,-0.523,-0.082,0.274,0.007
-1,-1,0.8,1.4,0.8,0,-1.984,0.755,-0.984,-0.245,0.968,0.06
-1,-1,0.8,1.4,0.8,1,-1.913,0.819,-0.913,-0.181,0.834,0.033
-1,-1,0.8,1.4,1,0,-1.983,0.717,-0.983,-0.283,0.967,0.08
-1,-1,0.8,1.4,1,1,-2.341,0.759,-1.341,-0.241,1.799,0.058
-1,-1,0.8,1.6,0,0,-2.031,0.894,-1.031,-0.106,1.062,0.011
-1,-1,0.8,1.6,0,1,0.384,0.771,1.384,-0.229,1.916,0.053
-1,-1,0.8,1.6,0.2,0,-1.218,0.962,-0.218,-0.038,0.048,0.001
-1,-1,0.8,1.6,0.2,1,0.341,0.89,1.341,-0.11,1.799,0.012
-1,-1,0.8,1.6,0.4,0,-1.733,0.886,-0.733,-0.114,0.537,0.013
-1,-1,0.8,1.6,0.4,1,0.72,0.835,1.72,-0.165,2.958,0.027
-1,-1,0.8,1.6,0.6,0,-1.994,0.845,-0.994,-0.155,0.987,0.024
-1,-1,0.8,1.6,0.6,1,1.38,0.729,2.38,-0.271,5.664,0.073
-1,-1,0.8,1.6,0.8,0,-2.176,0.775,-1.176,-0.225,1.383,0.051
-1,-1,0.8,1.6,0.8,1,-2.047,0.806,-1.047,-0.194,1.096,0.038
-1,-1,0.8,1.6,1,0,-2.452,0.795,-1.452,-0.205,2.109,0.042
-1,-1,0.8,1.6,1,1,-1.934,0.822,-0.934,-0.178,0.872,0.032
