"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0,1,0,0,-1.005,1.002,-0.005,0.002,0,0
-1,-1,0,1,0,1,-0.339,1.093,0.661,0.093,0.436,0.009
-1,-1,0,1,0.2,0,-1.103,1.001,-0.103,0.001,0.011,0
-1,-1,0,1,0.2,1,-0.374,1.186,0.626,0.186,0.391,0.035
-1,-1,0,1,0.4,0,-1.227,0.991,-0.227,-0.009,0.052,0
-1,-1,0,1,0.4,1,-0.337,1.285,0.663,0.285,0.439,0.081
-1,-1,0,1,0.6,0,-1.366,0.971,-0.366,-0.029,0.134,0.001
-1,-1,0,1,0.6,1,-0.301,1.394,0.699,0.394,0.488,0.155
-1,-1,0,1,0.8,0,-1.515,0.942,-0.515,-0.058,0.266,0.003
-1,-1,0,1,0.8,1,-0.278,1.519,0.722,0.519,0.522,0.269
-1,-1,0,1,1,0,-1.627,0.883,-0.627,-0.117,0.394,0.014
-1,-1,0,1,1,1,-0.214,1.622,0.786,0.622,0.617,0.387
-1,-1,0,1.2,0,0,-1.208,1.438,-0.208,0.438,0.043,0.192
-1,-1,0,1.2,0,1,-0.423,1.543,0.577,0.543,0.333,0.295
-1,-1,0,1.2,0.2,0,-1.292,1.458,-0.292,0.458,0.085,0.209
-1,-1,0,1.2,0.2,1,-0.437,1.624,0.563,0.624,0.317,0.39
-1,-1,0,1.2,0.4,0,-1.417,1.474,-0.417,0.474,0.174,0.224
-1,-1,0,1.2,0.4,1,-0.413,1.718,0.587,0.718,0.345,0.516
-1,-1,0,1.2,0.6,0,-1.533,1.48,-0.533,0.48,0.284,0.231
-1,-1,0,1.2,0.6,1,-0.381,1.823,0.619,0.823,0.383,0.677
-1,-1,0,1.2,0.8,0,-1.696,1.489,-0.696,0.489,0.484,0.239
-1,-1,0,1.2,0.8,1,-0.367,1.938,0.633,0.938,0.401,0.881
-1,-1,0,1.2,1,0,-1.797,1.455,-0.797,0.455,0.635,0.207
-1,-1,0,1.2,1,1,-0.305,2.034,0.695,1.034,0.483,1.068
-1,-1,0,1.4,0,0,-1.396,1.959,-0.396,0.959,0.157,0.92
-1,-1,0,1.4,0,1,-0.501,2.06,0.499,1.06,0.249,1.123
-1,-1,0,1.4,0.2,0,-1.494,1.992,-0.494,0.992,0.244,0.985
-1,-1,0,1.4,0.2,1,-0.519,2.154,0.481,1.154,0.231,1.332
-1,-1,0,1.4,0.4,0,-1.592,2.024,-0.592,1.024,0.35,1.048
-1,-1,0,1.4,0.4,1,-0.493,2.24,0.507,1.24,0.257,1.537
-1,-1,0,1.4,0.6,0,-1.699,2.052,-0.699,1.052,0.489,1.107
-1,-1,0,1.4,0.6,1,-0.444,2.335,0.556,1.335,0.309,1.782
-1,-1,0,1.4,0.8,0,-1.824,2.077,-0.824,1.077,0.679,1.161
-1,-1,0,1.4,0.8,1,-0.443,2.439,0.557,1.439,0.31,2.07
-1,-1,0,1.4,1,0,-1.941,2.088,-0.941,1.088,0.885,1.185
-1,-1,0,1.4,1,1,-0.39,2.539,0.61,1.539,0.372,2.37
-1,-1,0,1.6,0,0,-1.589,2.543,-0.589,1.543,0.346,2.382
-1,-1,0,1.6,0,1,-0.572,2.652,0.428,1.652,0.183,2.729
-1,-1,0,1.6,0.2,0,-1.678,2.599,-0.678,1.599,0.46,2.556
-1,-1,0,1.6,0.2,1,-0.608,2.745,0.392,1.745,0.154,3.045
-1,-1,0,1.6,0.4,0,-1.764,2.636,-0.764,1.636,0.583,2.677
-1,-1,0,1.6,0.4,1,-0.572,2.837,0.428,1.837,0.183,3.376
-1,-1,0,1.6,0.6,0,-1.885,2.683,-0.885,1.683,0.782,2.833
-1,-1,0,1.6,0.6,1,-0.538,2.93,0.462,1.93,0.214,3.724
-1,-1,0,1.6,0.8,0,-1.99,2.725,-0.99,1.725,0.98,2.975
-1,-1,0,1.6,0.8,1,-0.523,3.031,0.477,2.031,0.227,4.126
-1,-1,0,1.6,1,0,-2.095,2.746,-1.095,1.746,1.198,3.047
-1,-1,0,1.6,1,1,-0.475,3.11,0.525,2.11,0.275,4.452
-1,-1,0,1.8,0,0,-1.731,3.163,-0.731,2.163,0.534,4.678
-1,-1,0,1.8,0,1,-0.624,3.273,0.376,2.273,0.142,5.165
-1,-1,0,1.8,0.2,0,-1.859,3.213,-0.859,2.213,0.739,4.898
-1,-1,0,1.8,0.2,1,-0.625,3.364,0.375,2.364,0.141,5.588
-1,-1,0,1.8,0.4,0,-1.91,3.276,-0.91,2.276,0.828,5.179
-1,-1,0,1.8,0.4,1,-0.63,3.455,0.37,2.455,0.137,6.025
-1,-1,0,1.8,0.6,0,-2.007,3.322,-1.007,2.322,1.014,5.392
-1,-1,0,1.8,0.6,1,-0.624,3.55,0.376,2.55,0.141,6.504
-1,-1,0,1.8,0.8,0,-2.105,3.377,-1.105,2.377,1.22,5.65
-1,-1,0,1.8,0.8,1,-0.58,3.642,0.42,2.642,0.177,6.982
-1,-1,0,1.8,1,0,-2.169,3.419,-1.169,2.419,1.367,5.85
-1,-1,0,1.8,1,1,-0.5,3.723,0.5,2.723,0.25,7.413
-1,-1,0,2,0,0,-1.815,3.751,-0.815,2.751,0.664,7.567
-1,-1,0,2,0,1,-0.663,3.866,0.337,2.866,0.113,8.212
-1,-1,0,2,0.2,0,-1.838,3.789,-0.838,2.789,0.702,7.778
-1,-1,0,2,0.2,1,-0.635,3.94,0.365,2.94,0.133,8.644
-1,-1,0,2,0.4,0,-1.938,3.848,-0.938,2.848,0.881,8.111
-1,-1,0,2,0.4,1,-0.647,4.04,0.353,3.04,0.124,9.239
-1,-1,0,2,0.6,0,-2.018,3.91,-1.018,2.91,1.036,8.47
-1,-1,0,2,0.6,1,-0.563,4.126,0.437,3.126,0.191,9.771
-1,-1,0,2,0.8,0,-2.082,3.969,-1.082,2.969,1.171,8.814
-1,-1,0,2,0.8,1,-0.562,4.194,0.438,3.194,0.191,10.199
-1,-1,0,2,1,0,-2.17,3.987,-1.17,2.987,1.368,8.925
-1,-1,0,2,1,1,-0.519,4.281,0.481,3.281,0.232,10.767
-1,-1,0.4,1,0,0,-0.998,0.844,0.002,-0.156,0,0.024
-1,-1,0.4,1,0,1,-0.222,0.905,0.778,-0.095,0.606,0.009
-1,-1,0.4,1,0.2,0,-1.141,0.823,-0.141,-0.177,0.02,0.031
-1,-1,0.4,1,0.2,1,-0.237,1.01,0.763,0.01,0.582,0
-1,-1,0.4,1,0.4,0,-1.288,0.786,-0.288,-0.214,0.083,0.046
-1,-1,0.4,1,0.4,1,-0.224,1.123,0.776,0.123,0.602,0.015
-1,-1,0.4,1,0.6,0,-1.425,0.742,-0.425,-0.258,0.181,0.067
-1,-1,0.4,1,0.6,1,-0.172,1.247,0.828,0.247,0.685,0.061
-1,-1,0.4,1,0.8,0,-1.583,0.69,-0.583,-0.31,0.34,0.096
-1,-1,0.4,1,0.8,1,-0.195,1.387,0.805,0.387,0.649,0.15
-1,-1,0.4,1,1,0,-1.671,0.642,-0.671,-0.358,0.451,0.128
-1,-1,0.4,1,1,1,-0.134,1.496,0.866,0.496,0.749,0.246
-1,-1,0.4,1.2,0,0,-1.184,1.102,-0.184,0.102,0.034,0.01
-1,-1,0.4,1.2,0,1,-0.195,1.152,0.805,0.152,0.648,0.023
-1,-1,0.4,1.2,0.2,0,-1.372,1.089,-0.372,0.089,0.138,0.008
-1,-1,0.4,1.2,0.2,1,-0.228,1.26,0.772,0.26,0.596,0.068
-1,-1,0.4,1.2,0.4,0,-1.537,1.063,-0.537,0.063,0.289,0.004
-1,-1,0.4,1.2,0.4,1,-0.235,1.371,0.765,0.371,0.585,0.137
-1,-1,0.4,1.2,0.6,0,-1.681,1.028,-0.681,0.028,0.464,0.001
-1,-1,0.4,1.2,0.6,1,-0.101,1.479,0.899,0.479,0.808,0.23
-1,-1,0.4,1.2,0.8,0,-1.872,0.97,-0.872,-0.03,0.761,0.001
-1,-1,0.4,1.2,0.8,1,0,1.6,1,0.6,1,0.359
-1,-1,0.4,1.2,1,0,-1.99,0.919,-0.99,-0.081,0.98,0.007
-1,-1,0.4,1.2,1,1,0.377,1.637,1.377,0.637,1.896,0.405
-1,-1,0.4,1.4,0,0,-1.425,1.335,-0.425,0.335,0.18,0.112
-1,-1,0.4,1.4,0,1,-0.078,1.348,0.922,0.348,0.85,0.121
-1,-1,0.4,1.4,0.2,0,-1.612,1.325,-0.612,0.325,0.375,0.106
-1,-1,0.4,1.4,0.2,1,-0.063,1.454,0.937,0.454,0.878,0.206
-1,-1,0.4,1.4,0.4,0,-1.84,1.296,-0.84,0.296,0.706,0.088
-1,-1,0.4,1.4,0.4,1,0.109,1.53,1.109,0.53,1.229,0.281
-1,-1,0.4,1.4,0.6,0,-1.974,1.258,-0.974,0.258,0.948,0.067
-1,-1,0.4,1.4,0.6,1,0.171,1.64,1.171,0.64,1.372,0.409
